,Actual Value,RF,GB,ST
2154,254.28999999999996,195.0085304026522,244.49161438153635,252.29313701968363
3035,77.42999999999998,78.85008050349533,100.04134374451888,107.19362206911534
4015,75.90000000000002,66.99588588600328,72.87652415641553,74.06356109735798
4222,53.909999999999975,55.458192114678766,47.61324210841821,48.07191082537208
2927,238.10000000000008,223.140065110042,288.5276611088188,292.5286276439567
5238,57.14000000000001,73.70048497036863,68.7645027314953,66.31276420156411
2463,69.05000000000001,61.55352093649449,56.35470117265856,55.94501058855376
4874,216.22000000000003,176.1113453560607,185.30817597527903,185.08368918936088
1805,214.2899999999999,190.99331901293448,191.29935155015812,186.1284673927698
3927,171.17000000000002,87.32819607557434,161.80448310353415,176.68758959685087
1618,247.92,194.8432426196304,236.7422244377541,241.5125590343032
5839,59.730000000000004,61.25447678220357,58.22559749792768,57.72438121381642
4594,118.42,162.72952892590283,132.631802645699,127.55589298082393
1192,155.75999999999996,163.23575051424476,161.4340549413749,160.1711578798992
4472,43.75000000000001,62.587847997258926,44.02182098996171,43.56565774387585
3305,120.59000000000005,159.87193239307754,175.92742217847223,184.2392865973084
1115,38.120000000000005,64.02356339906412,52.09556041311733,48.42865904281434
2118,73.95999999999998,142.43735360163052,96.2760632286166,94.18763205087426
4050,77.77999999999999,142.6985229877793,51.89304273900202,51.61082336789466
3916,75.0,67.79291814762183,73.3271298207285,74.8857302772725
2873,74.03999999999998,138.67431755919281,90.7865680658081,76.79191545256913
3080,163.15999999999997,180.23820844082542,168.29124484336253,160.25423934368237
6228,57.68999999999998,64.09095425125022,61.867826146786975,61.96792585378717
5466,59.779999999999994,64.31142223156687,57.759883514730625,57.38209388004252
1662,45.21999999999999,60.141946556261885,54.55839066315625,53.38300873244533
2031,184.21000000000006,176.75710970173444,181.74190965460602,176.9534769026907
1420,229.99999999999994,174.86249136605997,189.75136604059242,184.53218673633333
4789,85.70999999999997,68.95147719492172,74.77995484669474,76.07914942077797
247,68.28999999999998,65.46631032704408,62.76175483087589,62.912772561578905
5339,174.99999999999991,173.56034283717818,200.1986117774724,198.60811473718186
3535,123.75,165.20898238892244,151.8687263543538,151.6493350573011
2499,99.40000000000005,75.59382779341747,96.01572019288758,101.49694096331224
4678,45.62,57.06273708353664,49.15127559977809,48.58945947568179
1323,89.0,77.50209409560118,93.9133717235757,93.66897538815742
5274,44.169999999999995,55.29943038480133,45.099696503425,44.76274610407414
1175,135.00000000000006,69.47762809120863,93.5726423425183,100.18281397859779
4715,52.00000000000001,64.21524638928437,60.08318769417798,58.97905024848528
764,156.64000000000001,196.063886622832,200.33751675264128,201.25432250572132
401,256.1000000000001,213.12320939487665,242.7138297352814,250.68335896228552
1912,171.43,163.55239828742376,151.4845294434722,151.77389208952312
3704,46.49999999999999,65.31671165407276,46.19475823348013,42.11640123008712
3534,286.67000000000013,180.08897953327627,192.3146181591469,185.8915512980641
1566,225.70999999999995,163.86185062832453,221.6548002502671,219.71347719211377
3545,60.80000000000002,61.10732189044375,56.251930297914825,55.77193547218939
1971,56.57999999999999,62.71286894056004,50.40028106742603,49.31814028527563
